"","regio","medium2","medtype","partij","partij2","n"
"1","Almere","1almere.nl","lokaal","cda","cda",44
"2","Almere","1almere.nl","lokaal","cu","cu",26
"3","Almere","1almere.nl","lokaal","d66","d66",33
"4","Almere","1almere.nl","lokaal","gl","gl",13
"5","Almere","1almere.nl","lokaal","lokaal","almereanders",35
"6","Almere","1almere.nl","lokaal","lokaal","ap_opa",14
"7","Almere","1almere.nl","lokaal","lokaal","glp",13
"8","Almere","1almere.nl","lokaal","lokaal","la",68
"9","Almere","1almere.nl","lokaal","lokaal","ra",8
"10","Almere","1almere.nl","lokaal","lokaal","wow",11
"11","Almere","1almere.nl","lokaal","lokaal","wstav",33
"12","Almere","1almere.nl","lokaal","pvda","pvda",21
"13","Almere","1almere.nl","lokaal","pvdd","pvdd",3
"14","Almere","1almere.nl","lokaal","pvv","pvv",20
"15","Almere","1almere.nl","lokaal","sp","sp",19
"16","Almere","1almere.nl","lokaal","vvd","vvd",52
"17","Almere","Almere Deze Week","lokaal","cda","cda",75
"18","Almere","Almere Deze Week","lokaal","cu","cu",21
"19","Almere","Almere Deze Week","lokaal","d66","d66",38
"20","Almere","Almere Deze Week","lokaal","gl","gl",20
"21","Almere","Almere Deze Week","lokaal","lokaal","almereanders",34
"22","Almere","Almere Deze Week","lokaal","lokaal","ap_opa",68
"23","Almere","Almere Deze Week","lokaal","lokaal","glp",38
"24","Almere","Almere Deze Week","lokaal","lokaal","la",110
"25","Almere","Almere Deze Week","lokaal","lokaal","ra",8
"26","Almere","Almere Deze Week","lokaal","lokaal","wow",7
"27","Almere","Almere Deze Week","lokaal","lokaal","wstav",44
"28","Almere","Almere Deze Week","lokaal","pvda","pvda",89
"29","Almere","Almere Deze Week","lokaal","pvdd","pvdd",17
"30","Almere","Almere Deze Week","lokaal","pvv","pvv",109
"31","Almere","Almere Deze Week","lokaal","sp","sp",33
"32","Almere","Almere Deze Week","lokaal","vvd","vvd",50
"33","Almere","almeredezeweek.nl","lokaal","cda","cda",129
"34","Almere","almeredezeweek.nl","lokaal","cu","cu",21
"35","Almere","almeredezeweek.nl","lokaal","d66","d66",75
"36","Almere","almeredezeweek.nl","lokaal","gl","gl",29
"37","Almere","almeredezeweek.nl","lokaal","lokaal","almereanders",66
"38","Almere","almeredezeweek.nl","lokaal","lokaal","ap_opa",51
"39","Almere","almeredezeweek.nl","lokaal","lokaal","glp",23
"40","Almere","almeredezeweek.nl","lokaal","lokaal","la",225
"41","Almere","almeredezeweek.nl","lokaal","lokaal","ra",2
"42","Almere","almeredezeweek.nl","lokaal","lokaal","wow",2
"43","Almere","almeredezeweek.nl","lokaal","lokaal","wstav",61
"44","Almere","almeredezeweek.nl","lokaal","pvda","pvda",134
"45","Almere","almeredezeweek.nl","lokaal","pvdd","pvdd",10
"46","Almere","almeredezeweek.nl","lokaal","pvv","pvv",190
"47","Almere","almeredezeweek.nl","lokaal","sp","sp",33
"48","Almere","almeredezeweek.nl","lokaal","vvd","vvd",104
"49","Almere","omroepalmere.nl","lokaal","cda","cda",80
"50","Almere","omroepalmere.nl","lokaal","cu","cu",21
"51","Almere","omroepalmere.nl","lokaal","d66","d66",78
"52","Almere","omroepalmere.nl","lokaal","gl","gl",3
"53","Almere","omroepalmere.nl","lokaal","lokaal","almereanders",14
"54","Almere","omroepalmere.nl","lokaal","lokaal","ap_opa",26
"55","Almere","omroepalmere.nl","lokaal","lokaal","glp",30
"56","Almere","omroepalmere.nl","lokaal","lokaal","la",58
"57","Almere","omroepalmere.nl","lokaal","lokaal","ra",24
