"","medium","ID","gemeente","weight1","medium_gemeente","gebruik","freq","app","blendle","facebook","krant","nieuwsb","podcast","radio","replica","site","teltekst","tv","twitter","weetniet","youtube"
"5082","1limburg",44135,"roermond",0.766138087681291,"rmond",1,6,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
"5086","1limburg",44044,"roermond",1.74369936755954,"rmond",1,4,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
"5098","1limburg",44141,"roermond",0.74177947080842,"rmond",1,5,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
"5101","1limburg",44050,"roermond",1.74369936755954,"rmond",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5105","1limburg",44046,"roermond",1.74369936755954,"rmond",1,4,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
"5114","1limburg",44137,"roermond",0.766138087681291,"rmond",1,5,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
"5119","1limburg",44003,"roermond",0.766138087681291,"rmond",1,7,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,0,0
"5129","1limburg",44013,"roermond",1.50062529002671,"rmond",1,5,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
"5142","1limburg",44045,"roermond",0.766138087681291,"rmond",1,4,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
"5149","1limburg",44328,"roermond",0.766138087681291,"rmond",1,5,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
"5152","1limburg",44136,"roermond",0.890238561106325,"rmond",1,4,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
"5153","1limburg",44158,"roermond",0.86193429013466,"rmond",1,4,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
"5159","1limburg",44014,"roermond",1.74369936755954,"rmond",1,7,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
"5172","1limburg",44160,"roermond",0.890238561106325,"rmond",1,6,1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
"5175","1limburg",44068,"roermond",0.74177947080842,"rmond",1,6,1,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
"5178","1limburg",44016,"roermond",0.74177947080842,"rmond",1,6,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
