"","ID","groep","groep2","gemeente","weight1","geslacht","leeftijd","opleiding","gezin","vertrouwen","nieuwsinteresse","intr_nieuws_buurt","intr_nieuws_stad","intr_nieuws_landelijk","intr_nieuws_internationaal","intr_nieuws_gr18","stem_gr2014","stem_gr2014b","stem_2017","stemkans_gr18","stemintentie_gr18","stemintentie_gr18b","stem_gr18","stem_moment","stem_plan","sr_niet","referendum","stem_gr18b"
"1",88001,"landelijk-oud","Gebruikers landelijk nieuws","amsterdam",1.09211804895821,2,24,"mbo",4,0,-0.1,0.5,0.5,0.5,-1,-1,"Ten tijde van de vorige verkiezingen was ik te jong om te stemmen","Ten tijde van de vorige verkiezingen was ik te jong om te stemmen","Ik heb niet gestemd","Zeker niet","Ik heb niet gestemd","Ik heb niet gestemd",NA,NA,NA,NA,NA,NA
"2",11001,"landelijk-nieuw","Gebruikers landelijk nieuws","almere",0.879361846186308,1,59,"bachelor",2,-0.333333333333333,0.3,0.5,0.5,0.5,0.5,-0.5,"VVD","VVD","VVD","Waarschijnlijk wel","Weet ik niet meer","Weet ik niet meer",NA,NA,NA,NA,NA,NA
"3",11002,"landelijk-oud","Gebruikers landelijk nieuws","almere",1.09514958621869,2,47,"lbo",1,-0.666666666666667,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,"PVV","PVV","PVV","Zeker wel","PVV","PVV","PVV","Circa een week voor de verkiezingen","Ik was er niet zeker van, maar ben uiteindelijk toch gaan stemmen",NA,"Ik heb tegen gestemd","PVV"
"4",11003,"lokaal-oud","Gebruikers lokaal nieuws","almere",0.940301805881723,1,21,"bachelor",3,0.5,-0.3,-0.5,-0.5,-0.5,0.5,-0.5,"Ten tijde van de vorige verkiezingen was ik te jong om te stemmen","Ten tijde van de vorige verkiezingen was ik te jong om te stemmen","CDA","Zeker wel","CDA","CDA",NA,NA,NA,NA,NA,NA
"5",22001,"lokaal-oud","Gebruikers lokaal nieuws","enschede",0.935871537760698,1,62,"master",2,0.833333333333333,0.8,0.5,1,1,1,0.5,"D66","D66","D66","Zeker wel","D66","D66","D66","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","D66"
"6",22002,"lokaal-oud","Gebruikers lokaal nieuws","enschede",0.793392238324074,2,61,"master",2,0.166666666666667,-0.3,-0.5,0.5,-0.5,-0.5,-0.5,"D66","D66","D66","Waarschijnlijk wel","D66","D66","D66","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","D66"
"7",11004,"lokaal-nieuw","Gebruikers lokaal nieuws","almere",1.09514958621869,2,51,"mbo",2,-0.833333333333333,0.3,1,1,0.5,-0.5,-0.5,"PvdA","PvdA","PvdA","Zeker niet","Ik heb niet gestemd","Ik heb niet gestemd","Leefbaar Almere","In het stemhokje","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","lokaal"
"8",33001,"landelijk-oud","Gebruikers landelijk nieuws","nijmegen",0.916876647096828,1,76,"vwo",2,0.166666666666667,0.6,0.5,1,0.5,0.5,0.5,"PvdA","PvdA","PvdA","Zeker wel","PvdA","PvdA",NA,NA,NA,NA,NA,NA
"9",33002,"landelijk-oud","Gebruikers landelijk nieuws","nijmegen",0.95182284806155,1,52,"bachelor",3,-0.166666666666667,0.4,0.5,0.5,1,0.5,-0.5,"Ik heb niet gestemd","Ik heb niet gestemd","50PLUS","Waarschijnlijk wel","50Plus","50Plus",NA,NA,NA,NA,NA,NA
"10",11005,"landelijk-oud","Gebruikers landelijk nieuws","almere",1.09514958621869,2,59,"bachelor",2,-0.333333333333333,0.6,1,1,1,0.5,-0.5,"VVD","VVD","PVV","Zeker wel","PVV","PVV",NA,NA,NA,NA,NA,NA
